product_id,symbol,fund_name,issuer,chain,contract_address,nav_model,notes
buidl-ethereum,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,BlackRock / Securitize,ethereum,0x7712c34205737192402172409a8f7ccef8aa2aec,peg,Largest product; dividends paid as new tokens
buidl-i-ethereum,BUIDL-I,BUIDL - I Class,BlackRock / Securitize,ethereum,0x6a9da2d710bb9b700acde7cb81f10f1ff8c89041,peg,Separate share class
buidl-optimism,BUIDL,BUIDL (Optimism),BlackRock / Securitize,optimism,0xa1cdab15bba75a80df4089cafba013e376957cf5,peg,
buidl-arbitrum,BUIDL,BUIDL (Arbitrum),BlackRock / Securitize,arbitrum,0xa6525ae43edcd03dc08e775774dcabd3bb925872,peg,
buidl-avalanche,BUIDL,BUIDL (Avalanche),BlackRock / Securitize,avalanche,0x53fc82f14f009009b440a706e31c9021e1196a2f,peg,
buidl-polygon,BUIDL,BUIDL (Polygon),BlackRock / Securitize,polygon,0x2893ef551b6dd69f661ac00f11d93e5dc5dc0e99,peg,
usyc-ethereum,USYC,US Yield Coin (Hashnote SDYF),Hashnote / Circle,ethereum,0x136471a34f6ef19fe571effc1ca711fdb8e49f2b,accruing,
usdy-ethereum,USDY,Ondo US Dollar Yield,Ondo,ethereum,0x96f6ef951840721adbf46ac996b59e0235cb985c,accruing,Also Solana/Sui/Aptos/Noble (non-EVM)
usdy-mantle,USDY,USDY (Mantle),Ondo,mantle,0x5be26527e817998a7206475496fde1e68957c5a6,accruing,Corrected from Ondo docs; sheet address had no code
usdy-arbitrum,USDY,USDY (Arbitrum),Ondo,arbitrum,0x35e050d3c0ec2d29d269a8ecea763a183bdf9a9d,accruing,Added from Ondo docs
ousg-ethereum,OUSG,Ondo Short-Term US Government Bond Fund,Ondo,ethereum,0x1b19c19393e2d034d8ff31ff34c81252fcbbee92,accruing,
ustb-ethereum,USTB,Superstate Short Duration US Gov Securities Fund,Superstate,ethereum,0x43415eb6ff9db7e26a15b704e7a3edce97d31c4e,accruing,Also on Solana (non-EVM)
benji-ethereum,BENJI,Franklin OnChain US Government Money Fund,Franklin Templeton,ethereum,0x3ddc84940ab509c11b20b76b466933f40b750dc9,peg,Medium confidence; validated on-chain at registry load
benji-polygon,BENJI,BENJI (Polygon),Franklin Templeton,polygon,0x408a634b8a8f0de729b48574a3a7ec3fe820b00a,peg,
benji-arbitrum,BENJI,BENJI (Arbitrum),Franklin Templeton,arbitrum,0xb9e4765bce2609bc1949592059b17ea72fee6c6a,peg,Corrected via Arbiscan; sheet address had no code
benji-base,BENJI,BENJI (Base),Franklin Templeton,base,0x60cfc2b186a4cf647486e42c42b11cc6d571d1e4,peg,
usdm-ethereum,USDM,Mountain Protocol USD,Mountain Protocol,ethereum,0x59d9356e565ab3a36dd77763fc0d87feaf85508c,accruing,Long tail
tbill-ethereum,TBILL,OpenEden T-Bill,OpenEden,ethereum,0xdd50c053c096cb04a3e3362e2b622529ec5f2e8a,accruing,Long tail
wtgxx-ethereum,WTGXX,WisdomTree Government Money Market,WisdomTree,ethereum,0x1fecf3d9d4fee7f2c02917a66028a48c6706c179,peg,Long tail
usyc-bnb,USYC,USYC (BNB Chain),Hashnote / Circle,bnb,0x8d0fa28f221eb5735bc71d3a0da67ee5bc821311,accruing,Added from Circle docs; majority of USYC supply
tbill-bnb,TBILL,TBILL (BNB Chain),OpenEden,bnb,0x5b4681f0d7a01b817675f25892d3ad73572fd1d9,accruing,Added from OpenEden docs
tbill-arbitrum,TBILL,TBILL (Arbitrum),OpenEden,arbitrum,0xf84d28a8d28292842dd73d1c5f99476a80b6666a,accruing,Added from OpenEden docs
benji-avalanche,BENJI,BENJI (Avalanche),Franklin Templeton,avalanche,0xe08b4c1005603427420e64252a8b120cace4d122,peg,Added via Snowtrace; DevHub blocks fetchers
usdy-bnb,USDY,USDY (BNB Chain),Ondo,bnb,0x608593d17a2decbbc4399e4185be4922f97ed32e,accruing,Added from Ondo docs
ousg-polygon,OUSG,OUSG (Polygon),Ondo,polygon,0xba11c5effa33c4d6f8f593cfa394241cfe925811,accruing,Added from Ondo docs
buidl-bnb,BUIDL,BUIDL (BNB Chain),BlackRock / Securitize,bnb,0x2d5bdc96d9c8aabbdb38c9a27398513e7e5ef84f,peg,Added Nov 2025 launch; address via rwa.xyz network table
